Sleep Date,Time in Wake,Time in REM,Time in Light,Time in Deep,Awakenings,Start of Night,End of Night,Rise Time
12/24/12,1,35,276,78,2,12/25/12 10:55,12/25/12 17:48,12/25/12 17:46
12/26/12,1,15,233,91,1,12/27/12 1:35,12/27/12 7:24,12/27/12 7:22
12/27/12,3,53,326,81,4,12/27/12 23:10,12/28/12 7:10,12/28/12 7:10
12/28/12,4,45,318,81,4,12/28/12 12:35,12/28/12 20:45,12/28/12 20:45
12/29/12,19,39,346,43,6,12/30/12 0:00,12/30/12 7:36,12/30/12 7:36
12/30/12,3,41,312,80,3,12/30/12 22:15,12/31/12 5:40,12/31/12 5:40
12/31/12,5,0,36,3,0,12/31/12 15:15,12/31/12 16:15,12/31/12 16:14
12/31/12,5,6,306,64,3,1/1/13 2:05,1/1/13 9:19,1/1/13 9:12
1/1/13,1,48,299,65,1,1/1/13 23:05,1/2/13 7:43,1/2/13 7:40
1/2/13,3,50,309,86,1,1/2/13 22:40,1/3/13 6:20,1/3/13 6:20
1/3/13,2,0,65,3,1,1/3/13 12:30,1/3/13 14:10,1/3/13 14:10
1/3/13,18,39,374,83,2,1/3/13 23:15,1/4/13 8:14,1/4/13 8:14
1/4/13,1,0,88,4,1,1/4/13 13:35,1/4/13 15:16,1/4/13 15:16
1/4/13,9,38,327,65,2,1/5/13 0:30,1/5/13 7:57,1/5/13 7:57
1/5/13,10,43,369,81,4,1/6/13 0:05,1/6/13 8:45,1/6/13 8:45
1/6/13,72,29,403,74,3,1/6/13 21:15,1/7/13 7:13,1/7/13 7:13
1/7/13,22,48,397,85,9,1/7/13 21:55,1/8/13 7:16,1/8/13 7:16
1/8/13,6,54,372,80,5,1/8/13 21:50,1/9/13 6:45,1/9/13 6:41
1/9/13,18,40,338,74,5,1/9/13 22:35,1/10/13 7:11,1/10/13 7:07
1/10/13,11,31,285,62,4,1/10/13 23:15,1/11/13 6:25,1/11/13 6:21
1/11/13,22,16,381,84,2,1/12/13 0:40,1/12/13 11:35,1/12/13 11:35
1/12/13,0,15,260,71,0,1/13/13 3:35,1/13/13 9:27,1/13/13 9:27
1/13/13,9,38,356,79,5,1/13/13 22:30,1/14/13 6:58,1/14/13 6:53
1/14/13,3,55,366,85,2,1/14/13 22:20,1/15/13 6:56,1/15/13 6:55
1/15/13,35,32,363,79,4,1/15/13 22:30,1/16/13 7:15,1/16/13 7:15
1/16/13,19,45,336,78,5,1/16/13 22:45,1/17/13 6:47,1/17/13 6:47
1/17/13,15,47,316,71,4,1/17/13 22:40,1/18/13 6:38,1/18/13 6:35
1/18/13,4,31,326,67,3,1/18/13 23:15,1/19/13 6:30,1/19/13 6:30
1/19/13,0,0,27,2,0,1/19/13 12:35,1/19/13 13:06,1/19/13 13:06
1/19/13,3,30,481,92,2,1/19/13 22:00,1/20/13 8:16,1/20/13 8:16
1/20/13,14,41,398,87,4,1/20/13 21:30,1/21/13 6:56,1/21/13 6:56
1/21/13,17,49,356,84,5,1/21/13 21:30,1/22/13 6:04,1/22/13 5:59
1/22/13,31,22,328,71,8,1/22/13 22:30,1/23/13 10:08,1/23/13 10:08
1/23/13,8,12,16,0,4,1/24/13 1:00,1/24/13 6:10,1/24/13 6:10
1/23/13,1,1,23,10,1,1/23/13 21:55,1/24/13 0:41,1/24/13 0:41
1/24/13,8,2,36,20,2,1/25/13 0:35,1/25/13 7:38,1/25/13 7:38
1/25/13,3,20,111,14,1,1/25/13 22:25,1/26/13 6:41,1/26/13 6:41
1/26/13,4,6,107,36,2,1/26/13 23:40,1/27/13 7:49,1/27/13 7:49
1/28/13,5,7,126,76,2,1/29/13 0:35,1/29/13 7:43,1/29/13 7:43
1/29/13,2,2,35,22,1,1/30/13 1:00,1/30/13 6:35,1/30/13 6:35
1/30/13,2,40,306,81,2,1/30/13 19:35,1/31/13 6:55,1/31/13 6:55
1/31/13,5,22,220,65,4,1/31/13 22:50,2/1/13 6:43,2/1/13 6:43
2/1/13,1,4,202,48,1,2/2/13 2:50,2/2/13 9:27,2/2/13 9:27
2/3/13,0,21,208,42,0,2/3/13 22:45,2/4/13 6:55,2/4/13 6:55
2/4/13,6,33,180,56,2,2/4/13 22:40,2/5/13 6:54,2/5/13 6:54
2/5/13,28,26,310,70,6,2/5/13 22:35,2/6/13 6:59,2/6/13 6:59
2/6/13,5,18,289,65,4,2/6/13 22:25,2/7/13 6:34,2/7/13 6:33
2/7/13,8,28,288,67,4,2/7/13 22:45,2/8/13 6:49,2/8/13 6:49
2/8/13,18,13,328,63,5,2/9/13 1:15,2/9/13 8:43,2/9/13 8:43
2/9/13,0,0,32,3,0,2/9/13 14:40,2/9/13 15:20,2/9/13 15:20
2/9/13,12,13,365,84,2,2/10/13 1:05,2/10/13 9:33,2/10/13 9:28
2/10/13,4,52,296,48,5,2/10/13 23:05,2/11/13 6:57,2/11/13 6:57
2/11/13,9,53,388,87,5,2/11/13 21:50,2/12/13 6:59,2/12/13 6:59
2/12/13,23,31,336,67,7,2/12/13 22:10,2/13/13 6:03,2/13/13 6:03
2/13/13,13,52,322,82,7,2/13/13 22:55,2/14/13 6:54,2/14/13 6:51
2/14/13,3,31,306,75,1,2/14/13 23:30,2/15/13 6:38,2/15/13 6:38
2/15/13,21,10,336,78,4,2/16/13 0:40,2/16/13 8:11,2/16/13 8:07
2/16/13,9,22,374,67,3,2/17/13 0:10,2/17/13 8:10,2/17/13 8:10
2/17/13,4,31,339,76,2,2/17/13 17:00,2/18/13 0:38,2/18/13 0:38
2/18/13,20,9,397,54,6,2/18/13 17:20,2/19/13 1:28,2/19/13 1:28
2/19/13,121,4,337,76,3,2/19/13 15:25,2/20/13 0:33,2/20/13 0:33
2/20/13,3,15,362,73,3,2/20/13 23:00,2/21/13 6:35,2/21/13 6:35
2/21/13,5,6,246,85,4,2/21/13 23:35,2/22/13 6:50,2/22/13 6:50
2/23/13,4,4,321,64,2,2/24/13 1:50,2/24/13 8:25,2/24/13 8:24
2/23/13,0,0,60,23,0,2/23/13 14:05,2/23/13 15:39,2/23/13 15:39
2/24/13,9,39,337,65,5,2/24/13 12:55,2/24/13 22:17,2/24/13 22:17
2/25/13,98,0,335,54,8,2/25/13 22:30,2/26/13 10:40,2/26/13 10:40
2/26/13,45,0,326,64,8,2/26/13 20:55,2/27/13 7:27,2/27/13 7:23
2/27/13,34,10,412,100,12,2/27/13 21:45,2/28/13 7:11,2/28/13 7:08
2/28/13,38,49,325,75,12,2/28/13 22:35,3/1/13 6:45,3/1/13 6:45
3/1/13,8,35,144,16,6,3/2/13 1:05,3/2/13 6:40,3/2/13 6:40
3/2/13,11,44,305,82,5,3/2/13 22:20,3/3/13 6:15,3/3/13 6:15
3/3/13,11,58,237,55,3,3/3/13 22:00,3/4/13 5:27,3/4/13 5:06
3/4/13,20,41,267,70,7,3/4/13 21:35,3/5/13 6:02,3/5/13 6:00
3/5/13,21,36,367,79,4,3/5/13 22:25,3/6/13 6:59,3/6/13 6:59
3/6/13,15,54,365,67,8,3/6/13 22:20,3/7/13 6:54,3/7/13 6:52
3/7/13,5,62,346,71,3,3/7/13 22:40,3/8/13 7:04,3/8/13 7:01
3/8/13,4,16,338,71,2,3/9/13 2:00,3/9/13 9:20,3/9/13 9:20
3/9/13,2,8,230,69,3,3/10/13 3:05,3/10/13 8:24,3/10/13 8:24
3/10/13,9,45,410,68,7,3/10/13 21:50,3/11/13 6:55,3/11/13 6:55
3/11/13,8,61,356,63,8,3/11/13 22:35,3/12/13 6:53,3/12/13 6:53
3/12/13,19,14,378,58,8,3/12/13 22:55,3/13/13 6:53,3/13/13 6:53
3/13/13,5,23,221,47,3,3/13/13 22:45,3/14/13 3:45,3/14/13 3:45
3/13/13,6,20,371,81,3,3/14/13 5:50,3/14/13 14:09,3/14/13 14:09
3/15/13,11,4,273,75,3,3/16/13 3:40,3/16/13 10:22,3/16/13 10:20
3/16/13,6,34,337,79,3,3/17/13 0:15,3/17/13 8:03,3/17/13 8:03
3/17/13,16,57,359,66,8,3/17/13 22:20,3/18/13 6:54,3/18/13 6:52
3/18/13,14,57,340,58,5,3/18/13 22:30,3/19/13 6:39,3/19/13 6:39
3/19/13,4,42,357,67,4,3/19/13 22:10,3/20/13 6:39,3/20/13 6:39
3/20/13,10,39,321,65,7,3/20/13 23:10,3/21/13 7:09,3/21/13 7:09
3/21/13,1,27,330,65,1,3/21/13 23:30,3/22/13 6:40,3/22/13 6:40
3/22/13,2,18,254,63,0,3/23/13 0:40,3/23/13 6:40,3/23/13 6:38
3/23/13,10,1,43,5,1,3/23/13 16:55,3/23/13 18:10,3/23/13 18:08
3/23/13,0,5,212,55,0,3/24/13 2:45,3/24/13 7:27,3/24/13 7:27
3/24/13,5,35,454,80,2,3/24/13 21:10,3/25/13 7:01,3/25/13 7:01
3/25/13,1,43,365,73,1,3/25/13 22:35,3/26/13 6:51,3/26/13 6:51
3/26/13,0,65,359,74,0,3/26/13 22:10,3/27/13 6:40,3/27/13 6:40
3/27/13,7,42,357,78,4,3/27/13 22:30,3/28/13 6:59,3/28/13 6:59
3/28/13,14,10,227,67,3,3/29/13 1:10,3/29/13 6:35,3/29/13 6:34
3/29/13,1,0,43,8,1,3/29/13 16:45,3/29/13 18:54,3/29/13 18:54
3/30/13,15,2,63,10,1,3/30/13 18:15,3/30/13 19:51,3/30/13 19:51
3/30/13,0,7,255,58,0,3/31/13 4:35,3/31/13 10:18,3/31/13 10:18
3/31/13,3,35,389,67,2,4/1/13 1:30,4/1/13 10:17,4/1/13 10:15
4/1/13,14,53,356,70,7,4/1/13 23:00,4/2/13 7:44,4/2/13 7:43
4/2/13,42,24,351,75,5,4/2/13 23:25,4/3/13 7:47,4/3/13 7:47
4/3/13,9,31,350,81,7,4/4/13 0:05,4/4/13 8:28,4/4/13 8:28
4/4/13,7,13,313,68,5,4/5/13 0:30,4/5/13 7:37,4/5/13 7:35
4/5/13,20,44,402,75,8,4/5/13 23:00,4/6/13 8:14,4/6/13 8:14
4/6/13,11,31,436,83,6,4/6/13 23:20,4/7/13 9:26,4/7/13 9:26
4/7/13,10,47,352,68,6,4/8/13 0:10,4/8/13 8:13,4/8/13 8:13
4/8/13,32,35,192,48,7,4/9/13 0:10,4/9/13 7:33,4/9/13 7:33
4/9/13,15,28,306,72,8,4/10/13 0:15,4/10/13 7:42,4/10/13 7:35
4/10/13,0,0,15,1,0,4/10/13 23:20,4/10/13 23:40,4/10/13 23:40
4/10/13,14,19,263,82,5,4/11/13 0:35,4/11/13 7:56,4/11/13 7:55
4/11/13,2,21,297,57,2,4/12/13 0:25,4/12/13 7:41,4/12/13 7:38
4/12/13,4,18,287,78,2,4/13/13 2:25,4/13/13 9:09,4/13/13 9:09
4/13/13,15,30,489,68,6,4/13/13 22:25,4/14/13 8:43,4/14/13 8:43
4/14/13,3,32,342,79,1,4/14/13 23:55,4/15/13 7:37,4/15/13 7:36
4/15/13,27,30,352,89,8,4/15/13 23:50,4/16/13 8:21,4/16/13 8:21
4/16/13,11,45,367,68,5,4/16/13 23:20,4/17/13 8:10,4/17/13 8:10
4/17/13,10,44,349,72,6,4/18/13 0:15,4/18/13 8:18,4/18/13 8:18
4/18/13,14,32,354,70,9,4/18/13 23:40,4/19/13 8:12,4/19/13 8:11
4/19/13,11,39,329,52,6,4/20/13 0:55,4/20/13 8:50,4/20/13 8:49
4/20/13,7,12,251,75,4,4/21/13 4:10,4/21/13 10:04,4/21/13 10:04
4/21/13,9,53,409,63,5,4/21/13 23:00,4/22/13 8:10,4/22/13 8:09
4/22/13,10,42,342,66,6,4/22/13 23:10,4/23/13 7:10,4/23/13 7:10
4/23/13,16,34,357,76,5,4/23/13 22:50,4/24/13 7:14,4/24/13 7:14
4/24/13,23,28,325,71,5,4/24/13 23:30,4/25/13 7:13,4/25/13 7:13
4/25/13,11,37,368,73,7,4/25/13 22:20,4/26/13 7:08,4/26/13 7:07
4/26/13,7,14,265,69,4,4/27/13 1:05,4/27/13 7:22,4/27/13 7:22
4/27/13,5,16,309,68,2,4/28/13 1:45,4/28/13 8:29,4/28/13 8:29
4/28/13,4,54,347,75,3,4/28/13 23:00,4/29/13 7:06,4/29/13 7:06
4/29/13,9,54,353,73,4,4/29/13 22:35,4/30/13 7:14,4/30/13 7:14
4/30/13,1,16,349,89,2,5/1/13 1:05,5/1/13 8:49,5/1/13 8:49
5/1/13,11,35,348,84,4,5/2/13 8:55,5/2/13 17:08,5/2/13 17:08
5/1/13,16,21,364,54,5,5/1/13 22:00,5/2/13 5:40,5/2/13 5:40
5/3/13,28,20,298,77,4,5/4/13 0:45,5/4/13 8:10,5/4/13 8:10
5/4/13,2,2,248,64,1,5/5/13 2:45,5/5/13 8:10,5/5/13 8:10
5/5/13,5,52,348,66,3,5/5/13 23:20,5/6/13 7:16,5/6/13 7:16
5/6/13,1,26,327,68,2,5/7/13 0:05,5/7/13 7:14,5/7/13 7:13
5/7/13,3,14,309,90,2,5/8/13 0:15,5/8/13 7:15,5/8/13 7:15
5/8/13,9,21,369,77,7,5/9/13 0:15,5/9/13 8:16,5/9/13 8:15
5/9/13,0,13,320,69,0,5/10/13 0:25,5/10/13 7:12,5/10/13 7:12
5/10/13,2,26,362,61,1,5/11/13 0:00,5/11/13 7:36,5/11/13 7:36
5/11/13,3,7,347,90,2,5/12/13 1:35,5/12/13 9:06,5/12/13 9:06
5/12/13,5,18,327,70,3,5/13/13 0:05,5/13/13 7:14,5/13/13 7:14
5/13/13,5,25,377,80,4,5/13/13 23:35,5/14/13 8:06,5/14/13 8:05
5/14/13,25,25,371,76,4,5/14/13 23:45,5/15/13 8:10,5/15/13 8:10
5/15/13,37,8,282,71,4,5/16/13 0:25,5/16/13 7:24,5/16/13 7:24
5/15/13,3,14,306,68,2,5/16/13 8:50,5/16/13 16:06,5/16/13 16:06
5/17/13,12,5,224,50,4,5/18/13 2:35,5/18/13 8:04,5/18/13 8:04
5/18/13,6,41,368,66,5,5/18/13 23:10,5/19/13 7:31,5/19/13 7:31
5/19/13,8,31,360,74,6,5/19/13 23:15,5/20/13 7:15,5/20/13 7:15
5/20/13,13,52,340,73,7,5/20/13 23:10,5/21/13 7:15,5/21/13 7:15
5/21/13,14,49,373,62,7,5/21/13 22:50,5/22/13 7:15,5/22/13 7:15
5/22/13,112,1,245,63,1,5/22/13 23:40,5/23/13 7:15,5/23/13 7:15
5/23/13,4,5,304,66,2,5/24/13 0:25,5/24/13 7:11,5/24/13 7:11
5/24/13,21,5,303,83,3,5/25/13 3:40,5/25/13 10:40,5/25/13 10:39
5/25/13,3,7,361,85,3,5/26/13 3:15,5/26/13 11:02,5/26/13 10:57
5/26/13,10,49,300,63,4,5/27/13 0:20,5/27/13 7:26,5/27/13 7:26
5/27/13,2,17,350,68,2,5/28/13 0:40,5/28/13 8:00,5/28/13 8:00
5/30/13,18,31,329,67,6,5/31/13 0:30,5/31/13 8:10,5/31/13 8:10
5/31/13,8,0,48,5,1,5/31/13 17:15,5/31/13 18:22,5/31/13 18:22
5/31/13,2,1,292,69,1,6/1/13 4:05,6/1/13 10:31,6/1/13 10:31
6/2/13,4,59,350,82,3,6/2/13 22:55,6/3/13 7:19,6/3/13 7:19
6/3/13,0,0,48,1,0,6/3/13 14:50,6/3/13 15:48,6/3/13 15:48
6/3/13,38,22,329,65,11,6/4/13 0:00,6/4/13 7:44,6/4/13 7:44
6/4/13,88,0,43,6,2,6/5/13 0:15,6/5/13 3:13,6/5/13 3:13
6/4/13,0,3,151,53,0,6/5/13 4:05,6/5/13 7:48,6/5/13 7:48
6/5/13,1,16,288,82,1,6/6/13 1:20,6/6/13 8:25,6/6/13 8:23
6/6/13,8,8,211,68,2,6/7/13 2:25,6/7/13 7:25,6/7/13 7:25
6/7/13,8,30,332,57,4,6/8/13 0:50,6/8/13 9:36,6/8/13 9:35
6/8/13,23,31,335,55,5,6/9/13 0:05,6/9/13 8:20,6/9/13 8:20
6/9/13,3,16,426,74,4,6/9/13 22:50,6/10/13 7:37,6/10/13 7:37
6/10/13,62,22,526,55,13,6/10/13 21:30,6/11/13 8:56,6/11/13 8:53
6/11/13,16,49,418,74,7,6/11/13 23:00,6/12/13 8:25,6/12/13 8:25
6/12/13,22,29,390,71,7,6/12/13 23:35,6/13/13 8:18,6/13/13 8:11
6/13/13,11,0,21,1,1,6/13/13 23:00,6/14/13 0:07,6/14/13 0:07
6/13/13,15,53,326,53,6,6/14/13 0:30,6/14/13 8:27,6/14/13 8:27
6/14/13,14,31,353,60,3,6/15/13 1:00,6/15/13 8:47,6/15/13 8:43
6/15/13,4,23,342,65,3,6/16/13 1:55,6/16/13 9:17,6/16/13 9:16
6/16/13,44,33,402,79,6,6/16/13 23:40,6/17/13 9:00,6/17/13 9:00
6/17/13,14,0,20,2,1,6/17/13 23:15,6/18/13 0:00,6/17/13 23:57
6/17/13,2,29,305,56,1,6/18/13 1:25,6/18/13 8:05,6/18/13 8:01
6/18/13,29,41,394,70,6,6/18/13 23:05,6/19/13 8:07,6/19/13 8:07
6/19/13,28,12,296,53,10,6/19/13 23:40,6/20/13 7:06,6/20/13 7:06
6/20/13,26,23,405,95,7,6/20/13 23:15,6/21/13 8:43,6/21/13 8:30
6/21/13,33,19,309,72,3,6/22/13 1:20,6/22/13 8:45,6/22/13 8:42
6/22/13,5,58,366,84,4,6/22/13 23:50,6/23/13 8:25,6/23/13 8:25
6/23/13,0,0,32,2,0,6/23/13 14:50,6/23/13 15:28,6/23/13 15:28
6/23/13,11,54,351,71,7,6/23/13 21:35,6/24/13 5:59,6/24/13 5:59
6/24/13,19,51,381,80,7,6/24/13 21:25,6/25/13 6:28,6/25/13 6:28
6/25/13,8,34,320,66,5,6/26/13 0:15,6/26/13 7:51,6/26/13 7:51
6/26/13,9,70,311,61,5,6/27/13 0:20,6/27/13 7:58,6/27/13 7:58
6/27/13,48,19,403,61,5,6/27/13 23:05,6/28/13 8:00,6/28/13 8:00
6/30/13,2,45,454,87,2,6/30/13 23:05,7/1/13 9:10,7/1/13 9:10
7/1/13,16,53,387,90,10,7/2/13 0:10,7/2/13 9:28,7/2/13 9:28
7/2/13,8,42,345,63,7,7/3/13 0:55,7/3/13 9:09,7/3/13 9:09
7/3/13,18,57,382,79,7,7/3/13 23:20,7/4/13 8:51,7/4/13 8:50
7/4/13,108,27,309,70,6,7/5/13 0:20,7/5/13 9:14,7/5/13 9:13
7/5/13,6,11,224,59,1,7/6/13 4:15,7/6/13 9:36,7/6/13 9:36
7/6/13,4,7,380,72,2,7/7/13 3:40,7/7/13 12:15,7/7/13 12:06
7/7/13,7,37,392,73,4,7/8/13 1:10,7/8/13 9:54,7/8/13 9:54
7/8/13,0,0,12,1,0,7/9/13 1:00,7/9/13 1:25,7/9/13 1:23
7/8/13,7,32,259,53,2,7/9/13 2:45,7/9/13 8:47,7/9/13 8:45
7/9/13,7,69,386,84,3,7/10/13 0:25,7/10/13 9:39,7/10/13 9:39
7/10/13,13,47,352,48,7,7/11/13 0:35,7/11/13 9:15,7/11/13 9:15
7/11/13,16,40,368,53,4,7/11/13 23:30,7/12/13 8:28,7/12/13 8:28
7/12/13,17,24,312,70,5,7/12/13 23:30,7/13/13 7:04,7/13/13 7:03
7/13/13,0,6,285,40,0,7/14/13 5:45,7/14/13 11:26,7/14/13 11:26
7/14/13,7,52,314,73,5,7/15/13 1:00,7/15/13 9:14,7/15/13 9:14
7/15/13,13,44,399,88,8,7/16/13 0:10,7/16/13 9:32,7/16/13 9:32
7/16/13,9,68,395,52,7,7/17/13 0:15,7/17/13 9:02,7/17/13 9:02
7/17/13,2,62,307,69,1,7/18/13 1:35,7/18/13 9:04,7/18/13 9:04
7/18/13,10,26,321,69,3,7/19/13 0:20,7/19/13 7:30,7/19/13 7:29
7/21/13,0,0,6,5,0,7/22/13 2:05,7/22/13 2:40,7/22/13 2:40
7/23/13,11,38,381,91,4,7/24/13 0:25,7/24/13 9:25,7/24/13 9:25
7/27/13,1,0,264,56,1,7/28/13 4:55,7/28/13 10:24,7/28/13 10:22
7/28/13,9,16,309,70,3,7/29/13 0:45,7/29/13 7:35,7/29/13 7:35
7/29/13,13,40,333,67,7,7/30/13 0:40,7/30/13 8:22,7/30/13 8:22
7/30/13,14,12,299,80,4,7/31/13 2:10,7/31/13 9:01,7/31/13 9:01
7/31/13,11,20,317,69,3,8/1/13 1:35,8/1/13 8:44,8/1/13 8:44
8/2/13,14,14,418,80,2,8/3/13 2:40,8/3/13 11:36,8/3/13 11:32
8/3/13,36,22,428,76,5,8/4/13 0:55,8/4/13 10:25,8/4/13 10:22
8/5/13,15,17,369,67,2,8/6/13 1:40,8/6/13 10:27,8/6/13 10:27
8/6/13,2,41,365,82,2,8/7/13 1:35,8/7/13 9:52,8/7/13 9:51
8/8/13,3,28,391,108,1,8/9/13 3:00,8/9/13 11:58,8/9/13 11:58
8/10/13,2,20,194,68,1,8/11/13 4:25,8/11/13 9:18,8/11/13 9:16
8/11/13,6,32,330,79,3,8/11/13 23:40,8/12/13 7:12,8/12/13 7:10
8/12/13,11,36,333,80,3,8/13/13 0:30,8/13/13 8:15,8/13/13 8:15
8/13/13,6,35,353,83,4,8/13/13 23:50,8/14/13 7:59,8/14/13 7:59
8/14/13,7,50,345,81,5,8/14/13 23:45,8/15/13 7:58,8/15/13 7:58
8/15/13,9,44,304,77,4,8/16/13 0:20,8/16/13 7:46,8/16/13 7:45
8/16/13,6,46,430,84,3,8/17/13 0:10,8/17/13 9:46,8/17/13 9:46
8/17/13,15,22,369,82,7,8/18/13 2:10,8/18/13 10:20,8/18/13 10:20
8/18/13,3,50,323,67,2,8/19/13 0:55,8/19/13 8:24,8/19/13 8:24
8/19/13,3,46,359,86,1,8/19/13 23:15,8/20/13 7:37,8/20/13 7:36
8/20/13,10,32,340,79,4,8/20/13 23:45,8/21/13 7:35,8/21/13 7:35
8/21/13,9,43,414,82,6,8/21/13 23:10,8/22/13 8:24,8/22/13 8:24
8/22/13,4,0,25,2,1,8/23/13 0:00,8/23/13 0:36,8/23/13 0:36
8/22/13,4,18,234,74,3,8/23/13 2:10,8/23/13 7:51,8/23/13 7:46
8/23/13,10,22,297,75,2,8/24/13 0:40,8/24/13 7:42,8/24/13 7:30
8/24/13,18,36,484,98,1,8/24/13 23:25,8/25/13 10:07,8/25/13 10:07
8/25/13,9,57,399,76,6,8/25/13 23:50,8/26/13 9:02,8/26/13 9:02
8/26/13,17,48,345,78,5,8/26/13 23:55,8/27/13 8:10,8/27/13 8:08
8/27/13,10,45,353,78,5,8/27/13 23:50,8/28/13 8:09,8/28/13 8:09
8/28/13,11,33,362,79,6,8/28/13 23:50,8/29/13 8:09,8/29/13 8:05
8/29/13,13,38,322,68,4,8/29/13 23:45,8/30/13 7:16,8/30/13 7:16
8/30/13,2,37,303,77,2,8/31/13 1:10,8/31/13 9:18,8/31/13 9:18
